Access	File ID	Object ID	File Name	ICGC Donor	Specimen ID	Specimen Type	Sample ID	Repository	Project	Study	Data Type	Experimental Strategy	Format	Size (bytes)
controlled	FI43722	08b734ed-4534-5af6-b0fd-8e2598699a36	ccba4b34a6c1af52e5929940a75c7fd8.bam	DO48730	SP107096	Normal - blood derived	SA515370	AWS - Virginia,EGA - Hinxton,Collaboratory - Toronto,Azure - Toronto	LIRI-JP	PCAWG			BAM	9.9193881437E10
controlled	FI811077	3e4439b2-6eaf-5b7a-89e7-8e0e88fa9734	-74eb311b043fef2d058681dadfa01f14.bam	DO50780	SP112140	Normal - blood derived	SA529721	AWS - Virginia,Collaboratory - Toronto,Azure - Toronto	LIRI-JP	PCAWG			BAM	4.22386955E8
controlled	FI811019	4da33f9f-42a1-585d-b2a1-bc8c70e0836b	-b025f42b205e85421b76b944a0446aae.bam	DO48723	SP107082	Normal - blood derived	SA515344	AWS - Virginia,Collaboratory - Toronto,Azure - Toronto	LIRI-JP	PCAWG			BAM	2.95522145E8
controlled	FI811047	b4917203-9442-570f-b742-8679c630e414	-2b1116cacf59654f369d27eb24501473.bam	DO45283	SP99291	Normal - blood derived	SA501574	AWS - Virginia,Azure - Toronto,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	8.21667238E8
controlled	FI811045	7c2f6c6a-5233-5f28-8c79-f532738dd6d2	-b9417e890ae226e91b26effdbc95720a.bam	DO48757	SP107146	Primary tumour - solid tissue	SA515456	Azure - Toronto,Collaboratory - Toronto,AWS - Virginia	LIRI-JP	PCAWG			BAM	5.86686409E8
controlled	FI811003	2d7d6666-2b0d-5223-8dc9-950fa3834643	-cadeb31de91152a40094d9a54517c350.bam	DO48720	SP107077	Normal - blood derived	SA515330	AWS - Virginia,Collaboratory - Toronto,Azure - Toronto	LIRI-JP	PCAWG			BAM	1.84758902E8
controlled	FI811001	deff7264-c30d-568d-b1b5-3e9fe7a0b257	-a76aa4632601f4929b2406aeda6434b9.bam	DO48712	SP107063	Primary tumour - solid tissue	SA515314	AWS - Virginia,Azure - Toronto,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	2.89405353E8
controlled	FI9760	48c5d06c-246c-566d-93b6-3a8f9aabfb42	aa2cf92ea36e841d4a6e581487d7ba35.bam	DO23520	SP50121	Primary tumour - solid tissue	SA270404	AWS - Virginia,EGA - Hinxton,Azure - Toronto,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	1.28338274335E11
controlled	FI33183	5f910d5a-ff35-5780-9fc4-99fe5099dbcc	dd2634abf305355b409596e542b9d9bc.bam	DO44828	SP112571	Normal - tissue adjacent to primary	SA530169	Azure - Toronto,Collaboratory - Toronto,EGA - Hinxton,AWS - Virginia	LICA-FR	PCAWG			BAM	1.49428725271E11
controlled	FI36383	b89354e5-901b-5020-a231-aa14a2d6a55a	efaa63df12212ce97c6f0a3f721d1681.bam	DO23544	SP50169	Primary tumour - solid tissue	SA270452	Collaboratory - Toronto,AWS - Virginia,EGA - Hinxton,Azure - Toronto	LIRI-JP	PCAWG			BAM	1.62622873216E11
controlled	FI810609	fe58ebf1-8712-522b-bbf2-2678e97cba18	-306854b4b7661abc835209c3f4793b64.bam	DO45121	SP98961	Normal - blood derived	SA501493	AWS - Virginia,Collaboratory - Toronto,Azure - Toronto	LIRI-JP	PCAWG			BAM	2.20010195E8
controlled	FI810597	e47c1d6a-edaf-5ce3-8b64-9c8eb61e1bd1	-b30340dc1be842da5ec010a976d61647.bam	DO45111	SP98939	Normal - blood derived	SA501475	Collaboratory - Toronto,Azure - Toronto,AWS - Virginia	LIRI-JP	PCAWG			BAM	9.84857239E8
controlled	FI810599	a5341212-8bce-5406-955e-a832c58089e5	-97ace2f7fb41b232024573f27e09f155.bam	DO45111	SP98941	Primary tumour - solid tissue	SA501477	Collaboratory - Toronto,AWS - Virginia,Azure - Toronto	LIRI-JP	PCAWG			BAM	1.273920264E9
controlled	FI15200	a33d37d4-a485-54e6-bc6f-fc88dd5e2e29	b9417e890ae226e91b26effdbc95720a.bam	DO48757	SP107146	Primary tumour - solid tissue	SA515456	Azure - Toronto,AWS - Virginia,Collaboratory - Toronto,EGA - Hinxton	LIRI-JP	PCAWG			BAM	1.34143388601E11
controlled	FI15110	532cca8b-cb1e-5bda-b561-44b21c60045d	0930da74bbf9f92654b5fa454319ce96.bam	DO45247	SP99217	Primary tumour - solid tissue	SA501498	EGA - Hinxton,AWS - Virginia,Azure - Toronto,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	1.61397036601E11
controlled	FI28580	8ed2d85b-9f54-5623-bc18-76901010c173	c01203cee05c02f59304c8c0f09ceb55.bam	DO45181	SP99083	Normal - blood derived	SA501613	Azure - Toronto,EGA - Hinxton,AWS - Virginia,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	1.09270205588E11
controlled	FI28581	ba761fb8-b862-55b1-829a-e6783818b3cc	6559869eca3fce04ad1da2315d71bbe4.bam	DO45181	SP99085	Primary tumour - solid tissue	SA501615	AWS - Virginia,EGA - Hinxton,Azure - Toronto,Collaboratory - Toronto	LIRI-JP	PCAWG			BAM	1.23520088079E11
